Training_Test_Etc	Marked_ID	Years	Market_Code	Notes	Prospectus	Full_Title
1	1	"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023] "	Prac_WTA	Practice Market		
1	2	"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023] "	Prac_VS	Practice Market		
1	3	"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023] "	Prac_Earnings	Practice Market		
	4	[1998] 	Movie_ISK	Classroom Movie Markets; I Still Know What You Did Last Summer	https://iemweb.biz.uiowa.edu/iem_prospectus/movie-i-still-know-what-you-did-last-summer/	Movie: I Still Know What You Did Last Summer
	5	[1998] 	Movie_EOS	Classroom Movie Markets; Enemy of the State	https://iemweb.biz.uiowa.edu/iem_prospectus/movie-enemy-of-the-state/	Movie: Enemy of the State
	6	[1999] 	Hessen_99	German Election Markets Workgroup; Election market for the Hesse state election '99	https://web.archive.org/web/19990420032623/http://www.vwl.uni-essen.de/dt/wipol/WAHLMARKt/all_inf.htm	
	7	"[1999, 2000, 2001, 2002, 2003, 2004, 2005] "	Comp_Ret	Classroom Market	https://web.archive.org/web/20000310080610/http://www.biz.uiowa.edu/iem/markets/pr_compu.html	Computer Industry Returns Market
	8	"[1999, 2000, 2001, 2002, 2003, 2004, 2005] "	MSFT_Price	Classroom Market	https://web.archive.org/web/20000324222940/http://www.biz.uiowa.edu/iem/markets/pr_msft.html#Note1	MSFT (MICROSOFT) PRICE LEVEL MARKET WINNER-TAKES-ALL CONTRACTS
1	9					
	10	[1999] 	Congress00	2000 Congressional Control 	https://iemweb.biz.uiowa.edu/iem_prospectus/2000-congressional-control-market/	2000 Congressional Control Market
	11	[1999] 	FranceEU99	LAEP; French European Parliamentary Election 1999	https://web.archive.org/web/20010210224253/http://panoramix.univ-paris1.fr/LAEP/IEM/prospectus.htm	"Présentation du marché électronique 
des élections européennes de juin 1999"
	12	[1999] 	Movie_MAT	Classroom Movie Markets; The Matrix	https://iemweb.biz.uiowa.edu/iem_prospectus/movie-box-office-the-matrix/	Movie Box Office: The Matrix
	13	[1999] 	Movie_TTI	Classroom Movie Markets;  10 Things I Hate About You	https://iemweb.biz.uiowa.edu/iem_prospectus/movie-box-office-10-things-i-hate-about-you/	Movie Box Office: 10 Things I Hate About You
	14	[1999] 	GermanyEU99	German Election Markets Workgroup; German European Parliamentary Election 1999		
	15	[1999] 	EPparties99	German Election Markets Workgroup; Coalitions of national members in the EP Election 1999		
	16	"[1999, 2000] "	RCONV00	2000 Republican National Convention	https://iemweb.biz.uiowa.edu/iem_prospectus/2000-republican-national-convention/	2000 Republican National Convention
	17	"[1999, 2000] "	DCONV00	2000 Democratic National Convention	https://iemweb.biz.uiowa.edu/iem_prospectus/2000-democratic-national-convention/	2000 Democratic National Convention
	18	"[1999, 2000] "	NYSENATE	2000 US Senate Election in New York	https://iemweb.biz.uiowa.edu/iem_prospectus/2000-us-senate-election-in-new-york/	2000 US Senate Election in New York
	19	[1999] 	Saxony_99	"German Election Markets Workgroup; Saxony state election, September 19, 1999"		
	20	"[1999, 2000, 2001] "	FedPolicy	Academic only; FedPolicy closed 9/30/01. Replaced 10/3/01 by FedPolicyB with revised treatment of inter-meeting rate changes and broader trader access.	https://web.archive.org/web/20020111234418/http://www.biz.uiowa.edu/iem/markets/pr_FedPolicy.html	Federal Reserve Monetary Policy Market
	21	[1999] 	Movie_SH	Classroom Movie Markets; Sleepy Hollow	https://iemweb.biz.uiowa.edu/iem_prospectus/sleepy-hollow-fall-1999/	Sleepy Hollow (Fall 1999)
	22	[1999] 	Movie_WINE	Classroom Movie Markets; The World is Not Enough (James Bond)	https://iemweb.biz.uiowa.edu/iem_prospectus/the-world-is-not-enough-fall-1999/	The World Is Not Enough (Fall 1999)
	23	[2000] 	TAIWAN_VS	Taiwan Presidential Election VS	https://iemweb.biz.uiowa.edu/iem_prospectus/2000-presidential-election-in-taiwan-vote-share-market/	"2000 Presidential Election in Taiwan, Vote Share Market"
1	24		 InactiveTrader	Inactive Trader		
